rank,company_name,website
431,Eastman Chemical,https://www.eastman.com/
432,Interactive Brokers Group,https://www.interactivebrokers.com/
433,Regions Financial,https://www.regions.com/
434,JetBlue Airways,https://www.jetblue.com/
435,Zoetis,https://www.zoetis.com/
436,KeyCorp,https://www.key.com/
437,Oscar Health,https://www.hioscar.com/
438,Ovintiv,https://www.ovintiv.com/
439,Seaboard,https://www.seaboardcorp.com/
440,Hertz Global Holdings,https://www.hertz.com/
441,Skechers U.S.A.,https://www.skechers.com/
442,Altice USA,https://www.alticeusa.com/
443,NOV,https://www.nov.com/
444,Graphic Packaging Holding,https://www.graphicpkg.com/
445,Avery Dennison,https://www.averydennison.com/
446,Equinix,https://www.equinix.com/
447,Insight Enterprises,https://www.insight.com/
448,Sirius XM Holdings,https://www.siriusxm.com/
449,PVH,https://www.pvh.com/
450,CenterPoint Energy,https://www.centerpointenergy.com/
451,WEC Energy Group,https://www.wecenergygroup.com/
452,Xylem,https://www.xylem.com/
453,Franklin Resources,https://www.franklinresources.com/
454,PPL,https://www.pplweb.com/
455,Workday,https://www.workday.com/
456,Dover,https://www.dovercorporation.com/
457,Packaging Corp. of America,https://www.packagingcorp.com/
458,ABM Industries,https://www.abm.com/
459,Intuitive Surgical,https://www.intuitive.com/
460,American Financial Group,https://www.afginc.com/
461,Rockwell Automation,https://www.rockwellautomation.com/
462,Solventum,https://www.solventum.com/
463,Old Republic International,https://www.oldrepublic.com/
464,Securian Financial Group,https://www.securian.com/
465,Prologis,https://www.prologis.com/
466,J.M. Smucker,https://www.jmsmucker.com/
467,Taylor Morrison Home,https://www.taylormorrison.com/
468,XPO,https://www.xpo.com/
469,Voya Financial,https://www.voya.com/
470,Palo Alto Networks,https://www.paloaltonetworks.com/
471,Vertiv Holdings,https://www.vertiv.com/
472,Welltower,https://www.welltower.com/
473,Foot Locker,https://www.footlocker.com/corp
474,Par Pacific Holdings,https://www.parpacific.com/
475,TransDigm Group,https://www.transdigm.com/
476,Commercial Metals,https://www.cmc.com/
477,Post Holdings,https://www.postholdings.com/
478,Masco,https://www.masco.com/
479,Rush Enterprises,https://www.rushenterprises.com/
480,KBR,https://www.kbr.com/
481,Sprouts Farmers Market,https://www.sprouts.com/
482,Williams-Sonoma,https://www.williams-sonomainc.com/
483,Zimmer Biomet Holdings,https://www.zimmerbiomet.com/
484,CACI International,https://www.caci.com/
485,Microchip Technology,https://www.microchip.com/
486,Watsco,https://www.watsco.com/
487,Newell Brands,https://www.newellbrands.com/
488,ARKO,https://www.arkocorp.com/
489,Sanmina,https://www.sanmina.com/
490,Electronic Arts,https://quartr.com/products/quartr-api
491,Yum Brands,https://www.yum.com/
492,Fastenal,https://www.fastenal.com/
493,CMS Energy,https://www.cmsenergy.com/
494,Monster Beverage,https://www.monsterbevcorp.com/
495,Endeavor Group Holdings,https://www.endeavorco.com/
496,Science Applications International,https://www.saic.com/
497,Core & Main,https://www.coreandmain.com/
498,Howmet Aerospace,https://www.howmet.com/
499,Ingredion,https://www.ingredion.com/
500,Vulcan Materials,https://www.vulcanmaterials.com/
